Gender,Age,Country/Region,Profession,Education Level,Favorite Celebrity/Genre,Free Time Interests,Online Habits,Life Goals
Female,34,Lao People's Democratic Republic,Health and Wellness,Some College,Music and Performing Arts,Reading or writing,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,18,American Samoa,Public Service and Non-Profit,High School Graduate,Entrepreneurship and Business,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Male,55,Hungary,Tech and Engineering,Some College,Film and Television,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Male,20,Luxembourg,Arts and Entertainment,Post-Graduate Degree,Entrepreneurship and Business,Reading or writing,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Male,49,Jamaica,Student / Retired / Unemployed / Prefer not to say,College Degree,Sports and Athletics,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,32,Liberia,Education and Research,Some High School,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Advancing in your career
Male,63,Malta,Education and Research,College Degree,Literature and Writing,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,56,Gibraltar,Arts and Entertainment,Some College,Film and Television,Reading or writing,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,29,Georgia,Health and Wellness,Some College,Sports and Athletics,Reading or writing,"Primarily for work, currently focusing on professional growth",Achieving financial security
Female,21,Turkmenistan,Health and Wellness,College Degree,Politics and Social Activism,Reading or writing,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Male,42,Serbia,Arts and Entertainment,College Degree,Science and Technology,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,28,Seychelles,Health and Wellness,Some College,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Male,59,Grenada,Health and Wellness,College Degree,Film and Television,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Female,27,Svalbard & Jan Mayen Islands,Health and Wellness,High School Graduate,Sports and Athletics,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,62,Guam,Public Service and Non-Profit,Post-Graduate Degree,Entrepreneurship and Business,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,39,Finland,Health and Wellness,High School Graduate,Music and Performing Arts,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Female,22,Montenegro,Student / Retired / Unemployed / Prefer not to say,College Degree,Science and Technology,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,57,Kuwait,Trades and Services,High School Graduate,Sports and Athletics,Reading or writing,"Primarily for work, currently focusing on professional growth",Advancing in your career
Female,34,Papua New Guinea,Arts and Entertainment,Some High School,Literature and Writing,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Non-binary/Prefer not to say,22,French Guiana,Arts and Entertainment,High School Graduate,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Male,34,Belarus,Public Service and Non-Profit,Post-Graduate Degree,Politics and Social Activism,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
